year,artist,track,time,genre,week,rank,date
2000,Lonestar,Amazed,04:25,Country,1,81,05/06/1999
2000,Lonestar,Amazed,04:25,Country,2,54,12/06/1999
2000,Lonestar,Amazed,04:25,Country,3,44,19/06/1999
2000,Lonestar,Amazed,04:25,Country,4,39,26/06/1999
2000,Lonestar,Amazed,04:25,Country,5,38,03/07/1999
2000,Lonestar,Amazed,04:25,Country,6,33,10/07/1999
2000,Lonestar,Amazed,04:25,Country,7,29,17/07/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,1,99,17/07/1999
2000,Lonestar,Amazed,04:25,Country,8,29,24/07/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,2,99,24/07/1999
2000,Lonestar,Amazed,04:25,Country,9,32,31/07/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,3,96,31/07/1999
2000,Lonestar,Amazed,04:25,Country,10,27,07/08/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,4,96,07/08/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,5,100,14/08/1999
2000,Lonestar,Amazed,04:25,Country,11,26,14/08/1999
2000,Lonestar,Amazed,04:25,Country,12,24,21/08/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,6,93,21/08/1999
2000,Lonestar,Amazed,04:25,Country,13,27,28/08/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,7,93,28/08/1999
2000,Lonestar,Amazed,04:25,Country,14,32,04/09/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,1,81,04/09/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,8,96,04/09/1999
2000,Lonestar,Amazed,04:25,Country,15,33,11/09/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,2,68,11/09/1999
2000,Creed,Higher,05:16,Rock,1,81,11/09/1999
2000,Lonestar,Amazed,04:25,Country,16,35,18/09/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,3,44,18/09/1999
2000,Creed,Higher,05:16,Rock,2,77,18/09/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,4,16,25/09/1999
2000,Lonestar,Amazed,04:25,Country,17,35,25/09/1999
2000,Creed,Higher,05:16,Rock,3,73,25/09/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,11,99,25/09/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,5,11,02/10/1999
2000,Lonestar,Amazed,04:25,Country,18,40,02/10/1999
2000,Creed,Higher,05:16,Rock,4,63,02/10/1999
2000,Lonestar,Amazed,04:25,Country,19,43,09/10/1999
2000,Creed,Higher,05:16,Rock,5,61,09/10/1999
2000,Train,Meet Virginia,03:55,Rock,1,76,09/10/1999
2000,IMx,Stay The Night,03:37,Rap,1,84,09/10/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,6,9,09/10/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,13,96,09/10/1999
2000,Lonestar,Amazed,04:25,Country,20,50,16/10/1999
2000,Creed,Higher,05:16,Rock,6,58,16/10/1999
2000,IMx,Stay The Night,03:37,Rap,2,61,16/10/1999
2000,Train,Meet Virginia,03:55,Rock,2,67,16/10/1999
2000,"Rimes, LeAnn",Big Deal,03:03,Country,1,71,16/10/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,7,8,16/10/1999
2000,Foo Fighters,Learn To Fly,03:55,Rock,1,80,16/10/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,14,96,16/10/1999
2000,IMx,Stay The Night,03:37,Rap,3,45,23/10/1999
2000,"Rimes, LeAnn",Big Deal,03:03,Country,2,52,23/10/1999
2000,Creed,Higher,05:16,Rock,7,56,23/10/1999
2000,Train,Meet Virginia,03:55,Rock,3,59,23/10/1999
2000,Foo Fighters,Learn To Fly,03:55,Rock,2,69,23/10/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,8,7,23/10/1999
2000,Savage Garden,I Knew I Loved You,04:07,Rock,1,71,23/10/1999
2000,Blaque,Bring It All To Me,03:46,Pop,1,73,23/10/1999
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,1,92,23/10/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,15,99,23/10/1999
2000,IMx,Stay The Night,03:37,Rap,4,43,30/10/1999
2000,Savage Garden,I Knew I Loved You,04:07,Rock,2,48,30/10/1999
2000,"Rimes, LeAnn",Big Deal,03:03,Country,3,51,30/10/1999
2000,Creed,Higher,05:16,Rock,8,52,30/10/1999
2000,Train,Meet Virginia,03:55,Rock,4,54,30/10/1999
2000,Blaque,Bring It All To Me,03:46,Pop,2,63,30/10/1999
2000,Foo Fighters,Learn To Fly,03:55,Rock,3,68,30/10/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,9,8,30/10/1999
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,2,80,30/10/1999
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,1,83,30/10/1999
